Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
321;Jason Preston;PG;23;LAC;1;0;3;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
322;Joshua Primo;SG;20;SAS;4;0;23.3;2.3;6.5;0.346;0.8;3;0.25;1.5;3.5;0.429;0.404;1.8;2.3;0.778;0.5;2.8;3.3;4.5;0.3;0.5;2.8;2;7
323;Taurean Prince;SF;28;MIN;6;0;18;3;5;0.6;1.8;3.2;0.579;1.2;1.8;0.636;0.783;0.2;0.3;0.5;0.5;2.7;3.2;1.2;0.5;0;0.8;2.5;8
324;Payton Pritchard;PG;25;BOS;2;0;4.5;1;3;0.333;1;1.5;0.667;0;1.5;0;0.5;0;0;0;0;0.5;0.5;1;0;0;0;0.5;3
325;Immanuel Quickley;PG;23;NYK;5;0;22.8;3.2;8.4;0.381;1.4;4.4;0.318;1.8;4;0.45;0.464;1.2;1.8;0.667;0.8;3.8;4.6;4.2;0.8;0.2;1.8;1.2;9
326;Julius Randle;PF;28;NYK;5;5;33.2;6.8;15.2;0.447;1.2;4.4;0.273;5.6;10.8;0.519;0.487;4.2;5.4;0.778;2.6;6.8;9.4;2.8;1.2;0.2;1.8;4.4;19
327;Austin Reaves;SG;24;LAL;5;1;22;2.2;4;0.55;1.2;2.6;0.462;1;1.4;0.714;0.7;1.2;1.2;1;0.6;2;2.6;1.6;0.2;0;1;1.4;6.8
328;Cam Reddish;SF;23;NYK;5;0;19.4;3.4;7;0.486;1;2.6;0.385;2.4;4.4;0.545;0.557;0.6;0.6;1;0.4;2.8;3.2;0.6;0.6;0.4;1.4;2.4;8.4
329;Davon Reed;SG;27;DEN;4;0;7.3;0.3;1.8;0.143;0.3;1;0.25;0;0.8;0;0.214;0.3;0.5;0.5;0;0.8;0.8;0.3;0.8;0;1;1;1
330;Paul Reed;C;23;PHI;4;0;4.8;0;0.5;0;0;0;0;0;0.5;0;0;0;0;0;0;0.8;0.8;0;0.5;0.3;0.3;0.8;0
331;Naz Reid;C;23;MIN;4;0;10;2.3;4.5;0.5;0.5;1.5;0.333;1.8;3;0.583;0.556;0.5;1;0.5;0.8;1.5;2.3;0.8;0.5;1;0.3;1.5;5.5
332;Nick Richards;C;25;CHO;5;0;21.4;5;7;0.714;0;0;0;5;7;0.714;0.714;3.2;4.2;0.762;3.6;3.8;7.4;0.6;0;0.4;0;1.6;13.2
333;Josh Richardson;SG;29;SAS;6;2;24.3;4;8.3;0.48;2.3;5.2;0.452;1.7;3.2;0.526;0.62;1.3;1.3;1;0.2;2.5;2.7;3.7;1;0.2;1.3;1.8;11.7
334;Austin Rivers;SG;30;MIN;3;0;7.7;0;1;0;0;0.3;0;0;0.7;0;0;0;0;0;0;0.3;0.3;0.3;0;0;0;0;0
335;Duncan Robinson;SF;28;MIA;6;0;13.2;2;5.2;0.387;1.3;3.7;0.364;0.7;1.5;0.444;0.516;0.2;0.2;1;0.3;1.8;2.2;1.3;0;0;0.2;1.8;5.5
336;Mitchell Robinson;C;24;NYK;5;5;24.6;3.4;4.4;0.773;0;0;0;3.4;4.4;0.773;0.773;1.2;2.8;0.429;3.6;2.4;6;0.6;0.2;3;0.4;3.4;8
337;Jeremiah Robinson-Earl;PF;22;OKC;5;4;18.8;2.6;5.2;0.5;1.6;3.2;0.5;1;2;0.5;0.654;0.8;0.8;1;1;3;4;1;1.2;0.2;0.4;2;7.6
338;Isaiah Roby;PF;24;SAS;5;0;10.4;1.2;2.8;0.429;0.4;1.2;0.333;0.8;1.6;0.5;0.5;0.2;0.6;0.333;0.6;1.8;2.4;1.2;1;0.4;0.4;0.8;3
339;David Roddy;PF;21;MEM;5;0;17;1.8;6.6;0.273;0.4;3.6;0.111;1.4;3;0.467;0.303;0.4;0.4;1;0.6;1.6;2.2;0.8;0.2;0;0.6;2;4.4
340;Ryan Rollins;PG;20;GSW;2;0;1.5;0;0.5;0;0;0;0;0;0.5;0;0;0;0;0;0;0.5;0.5;0.5;0;0;0;1;0
341;Derrick Rose;PG;34;NYK;5;0;12.8;3.4;6.6;0.515;1.4;3;0.467;2;3.6;0.556;0.621;0.6;0.6;1;0.4;2.2;2.6;2.8;0;0.2;1;0.6;8.8
342;Terrence Ross;SG;31;ORL;6;6;31.8;4.7;10;0.467;2.2;5.5;0.394;2.5;4.5;0.556;0.575;0.7;1;0.667;0.7;2.5;3.2;1.2;1;0.3;0.3;2.7;12.2
343;Terry Rozier;PG;28;CHO;2;2;33;8.5;21.5;0.395;3;7.5;0.4;5.5;14;0.393;0.465;3.5;4;0.875;2;5;7;8.5;0.5;1.5;3;1;23.5
344;D'Angelo Russell;PG;26;MIN;6;6;31.8;5.7;13.2;0.43;1.8;5.5;0.333;3.8;7.7;0.5;0.5;3;3.8;0.783;0.7;3.3;4;6.3;2;0.8;3.2;1.5;16.2
345;Matt Ryan;SF;25;LAL;3;0;13;1.7;3.7;0.455;1.3;2.7;0.5;0.3;1;0.333;0.636;0;0;0;0;1;1;0;0.3;0;0.3;2;4.7
346;Domantas Sabonis;PF;26;SAC;4;4;30.3;4.8;9.5;0.5;0;1.5;0;4.8;8;0.594;0.5;4;6;0.667;2.5;7.3;9.8;6.3;1;1;2.3;4;13.5
347;Dario Šari?;PF;28;PHO;1;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
348;Jordan Schakel;SF;24;WAS;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
349;Admiral Schofield;PF;25;ORL;1;0;13;2;3;0.667;1;2;0.5;1;1;1;0.833;0;0;0;0;2;2;0;0;0;0;3;5
350;Dereon Seabron;SG;22;NOP;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
351;Alperen Þengün;C;20;HOU;4;1;24.5;6;10.8;0.558;0.8;2;0.375;5.3;8.8;0.6;0.593;2.5;4.3;0.588;4.5;5.8;10.3;1;0.5;1.5;2.3;3;15.3
352;Collin Sexton;SG;24;UTA;6;0;16.8;3.5;7.8;0.447;0.7;2.3;0.286;2.8;5.5;0.515;0.489;3.3;4.2;0.8;1.2;1.8;3;1.5;0.7;0;1.2;2.2;11
353;Landry Shamet;SG;25;PHO;3;0;15.3;1.7;3.7;0.455;1;2.7;0.375;0.7;1;0.667;0.591;0.7;0.7;1;0.3;0.3;0.7;1.3;1;0;0.3;2.3;5
354;Day'Ron Sharpe;C;21;BRK;4;0;15;1.5;4;0.375;0;0.3;0;1.5;3.8;0.4;0.375;1;2;0.5;2;3.3;5.3;1.3;0.8;1;0.8;4;4
355;Shaedon Sharpe;SG;19;POR;6;1;18.5;3.7;7.3;0.5;1;2.3;0.429;2.7;5;0.533;0.568;1;1.5;0.667;1.3;1.7;3;0.7;0.3;0.2;0.8;2.7;9.3
356;Pascal Siakam;C;28;TOR;6;6;37.8;9.2;18.8;0.487;1.7;4.7;0.357;7.5;14.2;0.529;0.531;5.3;7.7;0.696;1.3;7.8;9.2;7.7;1;0.5;3.2;3.2;25.3
357;Ben Simmons;PG;26;BRK;5;5;31;2.4;5.4;0.444;0;0.2;0;2.4;5.2;0.462;0.444;0.8;2;0.4;0.8;5.4;6.2;6.8;1.2;0.6;2.8;4.4;5.6
358;Marko Simonovic;C;23;CHI;1;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
359;Anfernee Simons;SG;23;POR;6;6;36.2;7.5;17.5;0.429;3.7;9.8;0.373;3.8;7.7;0.5;0.533;1.8;2;0.917;0.5;2.3;2.8;3.2;1;0.3;2.7;2.7;20.5
360;Jericho Sims;C;24;NYK;2;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0
361;Marcus Smart;PG;28;BOS;5;5;35.2;3.2;9.8;0.327;1.4;6.2;0.226;1.8;3.6;0.5;0.398;2.2;2.6;0.846;0.4;2.8;3.2;6.2;1.2;0.4;2.2;3;10
362;Dennis Smith Jr.;PG;25;CHO;5;3;28.2;5.2;10.6;0.491;1;2.2;0.455;4.2;8.4;0.5;0.538;0.2;0.6;0.333;0.4;2.2;2.6;5.8;2;0.6;1.4;2.6;11.6
363;Dru Smith;SG;25;MIA;1;0;6;1;3;0.333;0;2;0;1;1;1;0.333;0;0;0;0;1;1;0;1;0;0;1;2
364;Ish Smith;PG;34;DEN;4;0;3.5;0.3;1.3;0.2;0;0;0;0.3;1.3;0.2;0.2;0;0;0;0;0.5;0.5;0.5;0;0.3;0.8;0.8;0.5
365;Jabari Smith Jr.;PF;19;HOU;6;6;32.2;4.5;13.2;0.342;2.5;7;0.357;2;6.2;0.324;0.437;2.3;2.7;0.875;1.3;5.2;6.5;1;0.3;1.3;0.7;4.2;13.8
366;Jalen Smith;PF;22;IND;6;6;23.7;5.3;10.2;0.525;1.2;3.7;0.318;4.2;6.5;0.641;0.582;2.2;3;0.722;1.7;6.8;8.5;0.8;0.2;1.2;1;1.8;14
367;Jeremy Sochan;PF;19;SAS;6;6;23.5;3.5;7.5;0.467;0.7;2.8;0.235;2.8;4.7;0.607;0.511;0.3;0.8;0.4;1;3.3;4.3;2;0.8;0.5;1.2;2.8;8
368;Jaden Springer;PG;20;PHI;2;0;2;1;1.5;0.667;0;0;0;1;1.5;0.667;0.667;0.5;1;0.5;0.5;0.5;1;0;0;0.5;0;0.5;2.5
369;Lamar Stevens;PF;25;CLE;1;0;4;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
370;Isaiah Stewart;C;21;DET;6;6;28.3;3.5;8.8;0.396;1;4.5;0.222;2.5;4.3;0.577;0.453;3.7;5.5;0.667;2.7;7.2;9.8;1.3;0.5;0.5;0.5;2.3;11.7
371;Max Strus;SF;26;MIA;6;1;30.2;5;10.7;0.469;2.5;6.7;0.375;2.5;4;0.625;0.586;0.8;1.3;0.625;1;4.5;5.5;1.7;0.3;0.7;1;1.7;13.3
372;Jalen Suggs;PG;21;ORL;2;2;20.5;4.5;8;0.563;2;4.5;0.444;2.5;3.5;0.714;0.688;1;2;0.5;1;0.5;1.5;2;2.5;0;3.5;4.5;12
373;Edmond Sumner;SG;27;BRK;4;0;10.8;1.5;3.8;0.4;0;1.5;0;1.5;2.3;0.667;0.4;2.3;2.3;1;0;1;1;1.3;0.5;0;1.3;0.5;5.3
374;Cole Swider;SF;23;LAL;1;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
375;Jae'Sean Tate;SF;27;HOU;2;1;19;3;6.5;0.462;0.5;2;0.25;2.5;4.5;0.556;0.5;1.5;2;0.75;2;2;4;3.5;1;0;1.5;5.5;8
376;Jayson Tatum;PF;24;BOS;5;5;38.2;11.2;20;0.56;3;7.8;0.385;8.2;12.2;0.672;0.635;7;7.8;0.897;0.6;7.4;8;3.6;0.8;1.2;2.2;2;32.4
377;Terry Taylor;SG;23;IND;5;2;17.6;1.4;4;0.35;0.4;1.4;0.286;1;2.6;0.385;0.4;0.6;0.8;0.75;1.2;1.8;3;1;0.4;0.8;0.2;1.8;3.8
378;Garrett Temple;SG;36;NOP;1;0;17;2;3;0.667;2;3;0.667;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;6
379;Dalen Terry;SG;20;CHI;3;0;2.3;0;0.7;0;0;0.3;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0.3;0.7;0.3;0
380;Cam Thomas;SG;21;BRK;2;0;7;0.5;2;0.25;0;0.5;0;0.5;1.5;0.333;0.25;0;0;0;0;0;0;0.5;0;0;0;0;1
381;Klay Thompson;SG;32;GSW;5;5;23.6;4.4;12.8;0.344;2.6;8.4;0.31;1.8;4.4;0.409;0.445;1.2;1.4;0.857;0.2;2.2;2.4;2.4;0.2;0.2;1.6;1.6;12.6
382;JT Thor;PF;20;CHO;4;0;11.8;0.8;2.5;0.3;0.3;2;0.125;0.5;0.5;1;0.35;0;0;0;0.5;2;2.5;0.3;0;0.8;0.5;1;1.8
383;Matisse Thybulle;SG;25;PHI;5;0;5.6;0.4;1.4;0.286;0.4;1.2;0.333;0;0.2;0;0.429;0;0;0;0.2;0.4;0.6;0.6;0.2;0.4;0;0;1.2
384;Xavier Tillman Sr.;PF;24;MEM;3;0;10.3;1.7;3.7;0.455;0.3;1;0.333;1.3;2.7;0.5;0.5;0;0;0;1.3;2;3.3;0.7;0;0.7;0.7;0.7;3.7
385;Isaiah Todd;PF;21;WAS;2;0;2;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
386;Obi Toppin;PF;24;NYK;5;0;15.6;3.8;6.8;0.559;1.6;3;0.533;2.2;3.8;0.579;0.676;0.4;0.4;1;0.8;2.6;3.4;1.8;0.2;0.2;0.4;0.6;9.6
387;Juan Toscano-Anderson;SF;29;LAL;4;0;16.5;1.5;3.8;0.4;0.3;2;0.125;1.3;1.8;0.714;0.433;0.3;0.3;1;0;3.3;3.3;0.8;0.5;0;0.8;1.8;3.5
388;Karl-Anthony Towns;PF;27;MIN;6;6;35.5;7;15.3;0.457;2.2;5.7;0.382;4.8;9.7;0.5;0.527;4.3;4.5;0.963;1.3;6.2;7.5;5.5;0.7;0.2;3.3;3.3;20.5
389;Gary Trent Jr.;SG;24;TOR;6;6;37;7;16;0.438;3.7;9.3;0.393;3.3;6.7;0.5;0.552;1.5;2.2;0.692;0.8;1.2;2;1.2;1.3;0.2;1.2;1;19.2
390;P.J. Tucker;PF;37;PHI;6;6;29.2;1.8;4;0.458;1;2.2;0.462;0.8;1.8;0.455;0.583;0.3;0.3;1;1.7;2.5;4.2;0.7;0.7;0.3;0.8;2.3;5
391;Myles Turner;C;26;IND;2;2;28.5;4;10.5;0.381;1.5;4;0.375;2.5;6.5;0.385;0.452;6.5;6.5;1;1.5;6.5;8;2;0.5;4.5;2;3;16
392;Jonas Valan?i?nas;C;30;NOP;5;5;26.8;6.4;12;0.533;0.4;1.4;0.286;6;10.6;0.566;0.55;4.6;4.8;0.958;4.2;7;11.2;2.6;0.6;0.6;1.2;2.2;17.8
393;Jarred Vanderbilt;PF;23;UTA;6;6;25;3.7;6.7;0.55;0.3;0.8;0.4;3.3;5.8;0.571;0.575;1;1.8;0.545;2.5;6.8;9.3;2;1.7;0.5;1.7;4.7;8.7
394;Fred VanVleet;PG;28;TOR;6;6;38;4;11.3;0.353;2.3;6.2;0.378;1.7;5.2;0.323;0.456;3;3.5;0.857;1;3;4;7.7;2.5;0.7;1.2;2.7;13.3
395;Devin Vassell;SG;22;SAS;4;4;32.5;6.8;16.5;0.409;3.3;8.3;0.394;3.5;8.3;0.424;0.508;3;4;0.75;0.3;4.8;5;4.5;1.3;0;1;1.3;19.8
396;Gabe Vincent;PG;26;MIA;6;0;21.3;2.8;6.7;0.425;0.8;3;0.278;2;3.7;0.545;0.488;1.5;1.8;0.818;0.2;1.5;1.7;3.8;0.5;0.2;2;1.7;8
397;Noah Vonleh;C;27;BOS;5;1;13.6;1.2;2.4;0.5;0;0;0;1.2;2.4;0.5;0.5;0;0;0;1.8;1.4;3.2;0;0.4;1.2;0.8;3.4;2.4
398;Nikola Vu?evi?;C;32;CHI;6;6;30;5.5;13.5;0.407;1.2;4.3;0.269;4.3;9.2;0.473;0.451;3.8;4;0.958;3.7;7;10.7;2.8;0;1.2;1.7;2.3;16
399;Dean Wade;PF;26;CLE;5;2;23.2;2.6;4.2;0.619;1.8;3.2;0.563;0.8;1;0.8;0.833;1.2;1.8;0.667;0.4;3;3.4;1.2;0.2;0.4;0.4;1.6;8.2
400;Franz Wagner;SF;21;ORL;6;6;33;6.7;14.5;0.46;1;4.7;0.214;5.7;9.8;0.576;0.494;1.5;1.8;0.818;1.8;3;4.8;4;1.2;0.2;3;2;15.8
401;Jabari Walker;SF;20;POR;3;0;4.3;0.7;1;0.667;0;0.3;0;0.7;0.7;1;0.667;0;0;0;0.3;1.3;1.7;1;0;0;0;0;1.3
402;Lonnie Walker IV;SG;24;LAL;5;5;30.6;5.4;13;0.415;0.8;5.4;0.148;4.6;7.6;0.605;0.446;1.8;2.4;0.75;1;2;3;2.6;1.2;0.8;1.6;2;13.4
403;John Wall;PG;32;LAC;4;0;21.5;6;12;0.5;1;3.5;0.286;5;8.5;0.588;0.542;2.3;4.3;0.529;0.5;2.3;2.8;4.3;1;0;2;1.8;15.3
404;Duane Washington Jr.;SG;22;PHO;2;0;1.5;0.5;2;0.25;0;1;0;0.5;1;0.5;0.25;0;0;0;0;0;0;0;0;0;0;0;1
405;P.J. Washington;PF;24;CHO;5;5;28.2;4.4;11.2;0.393;2.4;6;0.4;2;5.2;0.385;0.5;1;1.2;0.833;1;2.8;3.8;1.6;0.4;1.4;1.8;3;12.2
406;Yuta Watanabe;SF;28;BRK;4;0;11.3;1;1.8;0.571;0.8;1.3;0.6;0.3;0.5;0.5;0.786;0;0.5;0;0;1.3;1.3;0.5;0;0.3;0;1.5;2.8
407;Lindy Waters III;SG;25;OKC;2;0;8;0.5;3;0.167;0.5;3;0.167;0;0;0;0.25;0;0;0;0.5;0.5;1;0;0;0;0;0;1.5
408;Peyton Watson;SG;20;DEN;4;0;2.3;0.8;1.8;0.429;0;0;0;0.8;1.8;0.429;0.429;0;0;0;0.5;0.3;0.8;0;0;0;0;0.3;1.5
409;Blake Wesley;SG;19;SAS;1;0;15;4;6;0.667;2;3;0.667;2;3;0.667;0.833;0;0;0;0;0;0;4;0;0;1;3;10
410;Russell Westbrook;PG;34;LAL;4;3;29.5;4.3;13.8;0.309;0.5;4;0.125;3.8;9.8;0.385;0.327;3.3;5;0.65;0.5;6.5;7;4;1.8;0.3;2.5;2.3;12.3
411;Coby White;PG;22;CHI;6;0;21.8;3;7.7;0.391;1.5;5;0.3;1.5;2.7;0.563;0.489;0.8;1.5;0.556;0.2;1.8;2;1.7;0.7;0;0.5;2.3;8.3
412;Derrick White;SG;28;BOS;5;5;26.6;3.6;7.6;0.474;1.8;4.2;0.429;1.8;3.4;0.529;0.592;1.6;2;0.8;0.6;2.6;3.2;2.8;0.8;0.6;1;3.2;10.6
413;Jack White;SF;25;DEN;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0.5;0;0;0;0
414;Aaron Wiggins;SG;24;OKC;4;2;26;2.8;6.8;0.407;1;2.8;0.364;1.8;4;0.438;0.481;1.5;1.8;0.857;1;5;6;1.3;1;0.5;0.5;1.5;8
415;Andrew Wiggins;SF;27;GSW;5;5;33.2;7.6;15.4;0.494;2.4;6.6;0.364;5.2;8.8;0.591;0.571;2.6;3.2;0.813;2;5;7;2.6;1.8;1.2;0.6;3.4;20.2
416;Grant Williams;PF;24;BOS;4;0;24.8;3;4.3;0.706;2;3;0.667;1;1.3;0.8;0.941;1.5;1.8;0.857;0.5;3.8;4.3;1.5;0.3;1;0.5;3;9.5
417;Jalen Williams;SG;21;OKC;1;0;6;2;2;1;1;1;1;1;1;1;1.25;0;0;0;0;0;0;1;0;0;2;3;5
418;Jaylin Williams;PF;20;OKC;1;0;8;2;4;0.5;0;0;0;2;4;0.5;0.5;0;1;0;3;3;6;2;0;0;0;2;4
419;Kenrich Williams;PF;28;OKC;5;2;21.6;3.2;6.6;0.485;0.6;2.2;0.273;2.6;4.4;0.591;0.53;0.2;0.6;0.333;1.8;2;3.8;2;0.6;0.2;0.2;1.8;7.2
420;Mark Williams;C;21;CHO;3;0;4.3;1.3;2.3;0.571;0;0;0;1.3;2.3;0.571;0.571;1;1;1;1.3;1.3;2.7;0;0;0;0.7;1;3.7
421;Patrick Williams;PF;21;CHI;6;6;19.5;2.7;6.2;0.432;0.8;2.3;0.357;1.8;3.8;0.478;0.5;0.7;0.8;0.8;0.5;1.3;1.8;0.5;1.2;0.3;1;1;6.8
422;Vince Williams Jr.;SG;22;MEM;1;0;6;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
423;Zion Williamson;PF;22;NOP;3;3;30.3;9.3;19;0.491;0;0;0;9.3;19;0.491;0.491;3.3;4.7;0.714;2.3;4.3;6.7;2.3;2;0.7;3;2;22
424;Justise Winslow;SF;26;POR;5;0;24.8;2.8;7.2;0.389;0.6;1.8;0.333;2.2;5.4;0.407;0.431;1.4;2;0.7;1.6;2.8;4.4;2.8;1.8;0.8;1.2;2.2;7.6
425;James Wiseman;C;21;GSW;5;0;16.8;4.6;6.8;0.676;0;0;0;4.6;6.8;0.676;0.676;1.8;3;0.6;1.4;4;5.4;0.8;0;0.6;1;2.4;11
426;Christian Wood;PF;27;DAL;4;0;25.8;6.5;10.5;0.619;2.5;3.8;0.667;4;6.8;0.593;0.738;5.5;8.5;0.647;1.8;6.3;8;1.3;0.3;0.8;2.3;3;21
427;Delon Wright;PG;30;WAS;4;0;22.8;2.5;6;0.417;0.8;3;0.25;1.8;3;0.583;0.479;0.8;1.3;0.6;1;1.5;2.5;3.3;2.8;1;1;1.3;6.5
428;McKinley Wright IV;PG;24;DAL;1;0;5;1;4;0.25;0;1;0;1;3;0.333;0.25;0;0;0;1;1;2;2;1;0;0;0;2
429;Thaddeus Young;PF;34;TOR;4;0;8;0.8;2;0.375;0.3;1.3;0.2;0.5;0.8;0.667;0.438;0;0;0;0.3;1;1.3;0.3;0.8;0;0.3;1;1.8
430;Trae Young;PG;24;ATL;5;5;35.2;8.8;22.4;0.393;2.4;8.2;0.293;6.4;14.2;0.451;0.446;9.4;10.2;0.922;1;2.4;3.4;10.6;0.4;0.2;2.4;2.2;29.4
431;Ivica Zubac;C;25;LAC;5;5;30;4;7;0.571;0;0.2;0;4;6.8;0.588;0.571;1.6;2.4;0.667;3.8;9.2;13;1.6;0;2.8;2.2;2;9.6
