Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
243;Lauri Markkanen;SF;25;UTA;6;6;33.7;8.2;16.7;0.49;1.8;6.5;0.282;6.3;10.2;0.623;0.545;3;3.7;0.818;2.3;6.7;9;2.7;0.7;0.5;2;1.8;21.2
244;Naji Marshall;SF;25;NOP;5;2;21.6;3.4;6.6;0.515;0.6;2.2;0.273;2.8;4.4;0.636;0.561;2;2.6;0.769;1.6;1.4;3;1.8;0.6;0.4;1.2;1.6;9.4
245;Caleb Martin;PF;27;MIA;5;5;27.6;3.6;8.4;0.429;1;2.4;0.417;2.6;6;0.433;0.488;0.4;0.4;1;2.2;2.8;5;1.8;1.8;0;0.8;2.4;8.6
246;Cody Martin;SF;27;CHO;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
247;Kenyon Martin Jr.;SF;22;HOU;6;2;25.5;3;7.8;0.383;0.8;3;0.278;2.2;4.8;0.448;0.436;2;2.7;0.75;1.2;4.3;5.5;1.8;0.5;0.3;1.2;2.5;8.8
248;Tyrese Martin;SG;23;ATL;2;0;2.5;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0.5;0;0;0;2
249;Garrison Mathews;SG;26;HOU;6;0;13.5;0.8;2.8;0.294;0.8;2.8;0.294;0;0;0;0.441;1;1;1;0;0.8;0.8;0.7;0.2;0.2;0.2;1.5;3.5
250;Bennedict Mathurin;SG;20;IND;6;0;26.8;6.3;14.3;0.442;2.2;5.8;0.371;4.2;8.5;0.49;0.517;4.3;5.2;0.839;1.3;3.2;4.5;2.3;0.7;0;1.8;2.5;19.2
251;Wesley Matthews;SG;36;MIL;4;0;14.8;1.3;3.8;0.333;1;3;0.333;0.3;0.8;0.333;0.467;0.8;1;0.75;0.8;1;1.8;0.8;0.5;0.3;0.3;1.8;4.3
252;Tyrese Maxey;SG;22;PHI;6;6;38.8;8.7;16.5;0.525;3.3;6.8;0.488;5.3;9.7;0.552;0.626;3.3;4.3;0.769;0.5;3;3.5;3.5;1.2;0.2;2.2;2.3;24
253;Miles McBride;PG;22;NYK;2;0;1.5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.5;0
254;CJ McCollum;SG;31;NOP;5;5;34.6;8;19.4;0.412;1.6;6.6;0.242;6.4;12.8;0.5;0.454;2.6;3;0.867;0.6;2.6;3.2;8;1.4;0.2;2;2;20.2
